File Name,PDF Source,Page,Quality,Unique Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Status
Set 1 Page 2 (80 OMR)_page1,Set 1 Page 2 (80 OMR).pdf,1,Good,200001,3.0,1.0,2.0,1,1.0,1,1,1.0,3,1.0,4,1,3,,Success
Set 1 Page 2 (80 OMR)_page2,Set 1 Page 2 (80 OMR).pdf,2,Good,200003,3.0,5.0,1.0,5,3.0,5,1,2.0,4,3.0,4,4,1,,Success
Set 1 Page 2 (80 OMR)_page3,Set 1 Page 2 (80 OMR).pdf,3,Good,200005,4.0,5.0,5.0,4,4.0,5,3,4.0,2,5.0,5,5,5,5.0,Success
Set 1 Page 2 (80 OMR)_page4,Set 1 Page 2 (80 OMR).pdf,4,Good,200006,3.0,4.0,2.0,2,4.0,3,3,4.0,3,5.0,4,2,4,1.0,Success
Set 1 Page 2 (80 OMR)_page5,Set 1 Page 2 (80 OMR).pdf,5,Good,200008,3.0,5.0,4.0,4,5.0,3,5,5.0,4,3.0,5,3,4,,Success
Set 1 Page 2 (80 OMR)_page6,Set 1 Page 2 (80 OMR).pdf,6,Good,200009,4.0,5.0,3.0,5,4.0,5,3,5.0,5,3.0,4,2,5,1.0,Success
Set 1 Page 2 (80 OMR)_page7,Set 1 Page 2 (80 OMR).pdf,7,Good,200013,5.0,4.0,3.0,5,5.0,2,1,4.0,3,5.0,3,5,4,5.0,Success
Set 1 Page 2 (80 OMR)_page8,Set 1 Page 2 (80 OMR).pdf,8,Good,200014,4.0,3.0,4.0,3,4.0,5,3,2.0,4,3.0,4,4,5,5.0,Success
Set 1 Page 2 (80 OMR)_page9,Set 1 Page 2 (80 OMR).pdf,9,Good,200015,2.0,3.0,4.0,4,2.0,2,5,4.0,4,2.0,5,4,3,,Success
Set 1 Page 2 (80 OMR)_page10,Set 1 Page 2 (80 OMR).pdf,10,Good,200017,3.0,5.0,4.0,4,3.0,5,3,5.0,5,3.0,5,5,4,,Success
Set 1 Page 2 (80 OMR)_page11,Set 1 Page 2 (80 OMR).pdf,11,Good,200019,1.0,2.0,1.0,1,1.0,3,3,1.0,1,3.0,3,1,1,1.0,Success
Set 1 Page 2 (80 OMR)_page12,Set 1 Page 2 (80 OMR).pdf,12,Good,200020,3.0,3.0,4.0,1,1.0,1,5,4.0,2,2.0,4,5,5,2.0,Success
Set 1 Page 2 (80 OMR)_page13,Set 1 Page 2 (80 OMR).pdf,13,Good,200021,4.0,3.0,4.0,3,4.0,4,3,4.0,4,4.0,2,4,4,4.0,Success
Set 1 Page 2 (80 OMR)_page14,Set 1 Page 2 (80 OMR).pdf,14,Good,200022,4.0,3.0,5.0,3,5.0,2,3,5.0,4,2.0,5,2,3,,Success
